GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
brands,edu.javeriana.brands.service,BrandService,0,65,0,2,0,15,0,9,0,8
brands,edu.javeriana.brands.entity,Brand,0,23,0,0,0,11,0,6,0,6
brands,edu.javeriana.brands,BrandsApplication,0,8,0,0,0,3,0,2,0,2
brands,edu.javeriana.brands.controller,BrandController,43,162,3,15,8,31,3,14,1,7
